index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
9654,170858.1,217.911993,212.422705,-17.849118,-18.105714,0.767991303573094,1.9320954885992947e-07
9655,170875.8,217.941782,212.452288,-17.88264,-18.131694,0.7679341226927876,1.9336981443851542e-07
9656,170893.5,217.970641,212.482294,-17.913169,-18.174477,0.767876075725872,1.9353262792343173e-07
9657,170911.2,218.000159,212.511683,-17.949066,-18.207386,0.7678191749582753,1.9369234560695503e-07
9658,170928.9,218.029887,212.542075,-17.980162,-18.226587,0.7677602828486388,1.9385777566549578e-07
9659,170946.6,218.059405,212.5721,-18.006718,-18.229176,0.7677020524832625,1.9402147111158285e-07
9660,170964.3,218.088747,212.601038,-18.034308,-18.237157,0.7676458836925099,1.9417948748934322e-07
9661,170982.0,218.117819,212.631079,-18.052939,-18.239348999999997,0.7675875255612197,1.9434378367710892e-07
9662,170999.7,218.148184,212.660967,-18.032984,-18.208299,0.7675294156313235,1.94507503714636e-07
9663,171017.4,218.177531,212.690852,-18.027081,-18.196448,0.7674712625699204,1.9467146855634e-07
9664,171035.1,218.207121,212.720026,-18.030316,-18.184634,0.767414445736649,1.9483178331780593e-07
9665,171052.8,218.236659,212.75051,-18.042391,-18.183640999999998,0.7673550276496306,1.9499956355195636e-07
9666,171070.5,218.265807,212.78026,-18.060436,-18.190004,0.7672969908903783,1.95163566807377e-07
9667,171088.2,218.296038,212.810381,-18.075297,-18.186065,0.7672381806313715,1.9532988082548997e-07
9668,171105.9,218.324881,212.83998,-18.08187,-18.177992999999997,0.7671803407207356,1.9549357277437451e-07
9669,171123.6,218.353567,212.869597,-18.075386,-18.180600000000002,0.7671224171022633,1.9565762293671796e-07
9670,171141.3,218.382601,212.899176,-18.068117,-18.185584000000002,0.7670645192708154,1.95821722503986e-07
9671,171159.0,218.412215,212.929137,-18.04659,-18.180657999999998,0.7670058241912383,1.9598820522048754e-07
9672,171176.7,218.441191,212.95891,-18.023297,-18.160123,0.7669474479620971,1.961539077832697e-07
9673,171194.4,218.470709,212.988489,-18.01801,-18.141975,0.7668894032185657,1.9631879188963808e-07
9674,171212.1,218.500285,213.018702,-18.025744,-18.127952999999998,0.7668300639459366,1.964874801196892e-07
9675,171229.8,218.529684,213.048415,-18.033698,-18.118504,0.766771656941611,1.9665364242582584e-07
9676,171247.5,218.559027,213.077879,-18.015963,-18.083959999999998,0.7667136906063592,1.968186738587896e-07
9677,171265.2,218.588931,213.107996,-17.997213,-18.051171999999998,0.7666543892906234,1.9698763215059145e-07
9678,171282.9,218.61843,213.138247,-17.981622,-18.034984,0.7665947728579352,1.9715761678806842e-07
9679,171300.6,218.647963,213.167227,-17.981509,-18.033680999999998,0.7665376129532454,1.9732071870892653e-07
9680,171318.3,218.677424,213.197211,-17.999137,-18.046958,0.7664784229763888,1.97489737785439e-07
9681,171336.0,218.706534,213.227271,-18.021503,-18.074458,0.7664190320589221,1.9765945902250337e-07
9682,171353.7,218.736033,213.25743,-18.044453,-18.102739,0.766359394230649,1.9783001481421536e-07
9683,171371.4,218.765974,213.286467,-18.061127,-18.131262,0.7663019264566187,1.9799448630619665e-07
9684,171389.1,218.795412,213.316588,-18.070244,-18.154004999999998,0.7662422628083478,1.9816536989125666e-07
9685,171406.8,218.824679,213.346415,-18.084312,-18.173203,0.7661831307535191,1.9833485848108623e-07
9686,171424.5,218.85414,213.376013,-18.101548,-18.18826,0.7661244026788525,1.985033150075921e-07
9687,171442.2,218.883482,213.406111,-18.113822,-18.21297,0.7660646313373981,1.986748925930648e-07
9688,171459.9,218.911826,213.435999,-18.113463,-18.245585,0.7660052258895462,1.9884554869342708e-07
9689,171477.6,218.941645,213.465712,-18.10916,-18.257465,0.7659461176729044,1.9901547781975282e-07
9690,171495.3,218.971159,213.494963,-18.105869,-18.275489999999998,0.7658878791563848,1.9918303095778356e-07
9691,171513.0,219.000613,213.524905,-18.100176,-18.282421,0.7658282140620569,1.9935481698762914e-07
9692,171530.7,219.030722,213.555449,-18.099393,-18.272937,0.7657672963278623,1.9953034258168856e-07
9693,171548.4,219.060294,213.584601,-18.09749,-18.267665,0.7657091047907608,1.9969813924713975e-07
9694,171566.1,219.089732,213.614779,-18.1064,-18.272614,0.7656488136414598,1.9987211991034926e-07
9695,171583.8,219.119166,213.644686,-18.126968,-18.298105000000003,0.765589012068955,2.0004481871005453e-07
9696,171601.5,219.149645,213.674246,-18.139259,-18.314132999999998,0.7655298535579251,2.002157885039324e-07
9697,171619.2,219.17877,213.703921,-18.149964,-18.330944000000002,0.7654704140223509,2.0038769860120098e-07
9698,171636.9,219.20896,213.734038,-18.177621,-18.364901999999997,0.76541003695109,2.0056245175759102e-07
9699,171654.6,219.238451,213.763403,-18.195441,-18.382709,0.7653511167359203,2.0073311618462597e-07
9700,171672.3,219.267809,213.79362,-18.185394,-18.369294,0.7652904346415473,2.009090163679339e-07
9701,171690.0,219.297266,213.822909,-18.182891,-18.359674000000002,0.7652315653974967,2.0107978954131411e-07
9702,171707.7,219.326643,213.852564,-18.160638,-18.352204999999998,0.7651719095139817,2.012529733419477e-07
9703,171725.4,219.356715,213.882178,-18.136617,-18.324421,0.7651122848162505,2.0142619633345404e-07
9704,171743.1,219.386111,213.912894,-18.124979,-18.294622,0.7650503871147956,2.016061594889429e-07
9705,171760.8,219.415644,213.942492,-18.133317,-18.278489,0.7649906900251748,2.0177985665670306e-07
9706,171778.5,219.445078,213.971724,-18.151335,-18.278942999999998,0.7649316806303263,2.0195168071168723e-07
9707,171796.2,219.474554,214.00186,-18.161618,-18.278961000000002,0.7648707937449193,2.021291042875184e-07
9708,171813.9,219.50397,214.03121,-18.174302,-18.299919,0.7648114434605754,2.023021809516301e-07
9709,171831.6,219.53385,214.061655,-18.177666,-18.308992,0.7647498251952353,2.0248200649497505e-07
9710,171849.3,219.562804,214.09133,-18.171206,-18.300156,0.7646897126173573,2.026575717795076e-07
9711,171867.0,219.592818,214.121371,-18.170448,-18.288151,0.76462880552413,2.0283559182265876e-07
9712,171884.7,219.622252,214.151007,-18.177004,-18.283461,0.7645686671095984,2.03011496890948e-07
9713,171902.4,219.650858,214.18022,-18.169977,-18.269527,0.7645093360000763,2.0318517074402465e-07
9714,171920.1,219.681029,214.21049,-18.181037,-18.292801,0.76444780457563,2.033654201705204e-07
9715,171937.8,219.710425,214.240454,-18.194476,-18.314707000000002,0.7643868413923025,2.0354414181911196e-07
9716,171955.5,219.739222,214.270262,-18.2162,-18.33248,0.7643261424204348,2.0372222314657407e-07
9717,171973.2,219.768851,214.300246,-18.221947,-18.326198,0.7642650314567961,2.039016492871859e-07
9718,171990.9,219.798151,214.330077,-18.234992,-18.341796,0.764204178893746,2.0408045164899136e-07
9719,172008.6,219.828009,214.359557,-18.235047,-18.342829000000002,0.7641439898958443,2.0425743768592852e-07
9720,172026.3,219.8571,214.389983,-18.245107,-18.358398,0.7640818147011462,2.044404024958979e-07
9721,172044.0,219.886824,214.419543,-18.259148,-18.376174,0.7640213558095283,2.0461845190444805e-07
9722,172061.7,219.916201,214.448912,-18.271422,-18.395531000000002,0.7639612354045775,2.0479563722641814e-07
9723,172079.4,219.945502,214.478682,-18.280522,-18.411123,0.7639002409732233,2.0497553249176903e-07
