index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc
6124,103478.7,107.227789,107.608572,-0.145355,0.34765199999999996,
6125,103495.6,107.228018,107.607932,-0.152956,0.33231599999999994,
6126,103512.5,107.228201,107.60668,-0.155174,0.33815799999999996,
6127,103529.4,107.228049,107.604865,-0.157393,0.329136,
6128,103546.3,107.227652,107.604086,-0.15296,0.340078,
6129,103563.2,107.227194,107.603049,-0.150428,0.35253100000000004,
6130,103580.1,107.227271,107.602255,-0.146628,0.35664700000000005,
6131,103597.0,107.22692,107.600699,-0.14758,0.34733800000000004,
6132,103613.9,107.22663,107.600073,-0.152331,0.346933,
6133,103630.8,107.226416,107.598792,-0.150433,0.34419299999999997,
6134,103647.7,107.22663,107.597739,-0.152017,0.334565,
6135,103664.6,107.226584,107.596732,-0.161836,0.32723099999999994,
6136,103681.5,107.226111,107.595435,-0.157721,0.331974,
6137,103698.4,107.225867,107.594061,-0.159306,0.34031,
6138,103715.3,107.226309,107.593298,-0.165324,0.33089199999999996,
6139,103732.2,107.225561,107.59194,-0.163426,0.335276,
6140,103749.1,107.226111,107.590872,-0.171979,0.327351,
6141,103766.0,107.225516,107.589529,-0.177681,0.32134399999999996,
6142,103782.9,107.225989,107.589179,-0.178632,0.322261,
6143,103799.8,107.225302,107.5884,-0.179266,0.3256629999999999,
6144,103816.7,107.225729,107.586371,-0.178319,0.321354,
6145,103833.6,107.22634,107.585684,-0.174519,0.318964,
6146,103850.5,107.226111,107.584967,-0.167235,0.33524,
6147,103867.4,107.226218,107.583563,-0.169454,0.33116999999999996,
6148,103884.3,107.226553,107.583273,-0.178323,0.31146599999999997,
6149,103901.2,107.226065,107.5819,-0.182443,0.310454,
6150,103918.1,107.226889,107.580817,-0.188146,0.29267600000000005,
6151,103935.0,107.226904,107.580115,-0.187513,0.29827400000000004,
6152,103951.9,107.226813,107.579489,-0.192265,0.300964,
6153,103968.8,107.226935,107.577673,-0.191634,0.297577,
6154,103985.7,107.227377,107.576758,-0.182767,0.31822399999999995,
6155,104002.6,107.227728,107.57572,-0.184352,0.320677,
6156,104019.5,107.227362,107.574759,-0.185303,0.313846,
6157,104036.4,107.227347,107.574561,-0.182136,0.312994,
6158,104053.3,107.227728,107.573538,-0.187523,0.304515,
6159,104070.2,107.228278,107.572028,-0.190059,0.29393099999999994,
6160,104087.1,107.228003,107.571005,-0.193228,0.300995,
6161,104104.0,107.228751,107.569968,-0.198298,0.29934000000000005,
6162,104120.9,107.22869,107.569205,-0.197982,0.294708,
6163,104137.8,107.228598,107.567938,-0.204003,0.29830000000000007,
6164,104154.7,107.228766,107.567343,-0.208755,0.295416,
6165,104171.6,107.229437,107.566473,-0.212875,0.28696599999999994,
6166,104188.5,107.229697,107.565726,-0.220162,0.27101,
6167,104205.4,107.229651,107.564719,-0.223015,0.259796,
6168,104222.3,107.229819,107.563818,-0.224283,0.268765,
6169,104239.2,107.229865,107.562918,-0.216049,0.277939,
6170,104256.1,107.230414,107.56217,-0.208447,0.28957700000000003,
6171,104273.0,107.23017,107.561163,-0.2113,0.29107,
6172,104289.9,107.230627,107.560477,-0.218904,0.280376,
6173,104306.8,107.230383,107.560156,-0.222389,0.269152,
6174,104323.7,107.230643,107.558768,-0.22651,0.265658,
6175,104340.6,107.230551,107.557944,-0.227778,0.260058,
6176,104357.5,107.230795,107.556891,-0.232215,0.254697,
6177,104374.4,107.231116,107.556448,-0.232216,0.258116,
6178,104391.3,107.231131,107.555121,-0.229684,0.262825,
6179,104408.2,107.231131,107.554373,-0.227151,0.262887,
6180,104425.1,107.231207,107.553351,-0.227153,0.259483,
6181,104442.0,107.231284,107.552542,-0.232857,0.25595599999999996,
6182,104458.9,107.23107,107.551962,-0.241728,0.248954,
6183,104475.8,107.231039,107.551352,-0.244264,0.246115,
6184,104492.7,107.230841,107.550665,-0.249651,0.242288,
6185,104509.6,107.230933,107.549704,-0.247435,0.24482100000000004,
6186,104526.5,107.230383,107.548498,-0.246487,0.24980799999999997,
6187,104543.4,107.230002,107.547675,-0.243637,0.257316,
6188,104560.3,107.229285,107.547202,-0.243321,0.2564,
6189,104577.2,107.229056,107.546164,-0.239838,0.25741,
6190,104594.1,107.228964,107.545599,-0.245542,0.24582600000000002,
6191,104611.0,107.22843,107.54444,-0.253465,0.24503999999999998,
6192,104627.9,107.227774,107.54444,-0.260752,0.23187000000000002,
6193,104644.8,107.22721,107.542731,-0.265191,0.21999799999999997,
6194,104661.7,107.226981,107.541952,-0.267094,0.221206,
6195,104678.6,107.227911,107.541388,-0.265511,0.22186499999999998,
6196,104695.5,107.229513,107.540411,-0.263295,0.22564099999999998,
6197,104712.4,107.232169,107.539435,-0.263297,0.229678,
6198,104729.3,107.237158,107.538916,-0.263298,0.234956,
6199,104746.2,107.243735,107.538245,-0.269636,0.23358599999999996,
6200,104763.1,107.252142,107.537405,-0.266153,0.23087600000000003,
6201,104780.0,107.263586,107.536704,-0.272491,0.21183400000000002,
6202,104796.9,107.278204,107.536017,-0.277245,0.20987699999999998,
6203,104813.8,107.295447,107.535773,-0.276612,0.20989999999999998,
6204,104830.7,107.315482,107.535529,-0.2839,0.20293100000000003,
6205,104847.6,107.338995,107.534308,-0.29119,0.19719799999999998,
6206,104864.5,107.364752,107.534613,-0.301963,0.19542500000000002,
6207,104881.4,107.394659,107.534552,-0.303864,0.19353599999999999,
6208,104898.3,107.42684,107.534094,-0.314005,0.18185,
6209,104915.2,107.462576,107.534033,-0.324461,0.16675099999999998,
6210,104932.1,107.499365,107.534964,-0.335865,0.153184,
6211,104949.0,107.538977,107.534781,-0.345371,0.14927,
6212,104965.9,107.580466,107.535254,-0.363748,0.12501,
6213,104982.8,107.62374,107.536017,-0.387193,0.101883,
6214,104999.7,107.669333,107.536917,-0.40525,0.08879599999999999,
6215,105016.6,107.715536,107.538413,-0.431544,0.06560900000000003,
6216,105033.5,107.762274,107.539923,-0.45055,0.042271999999999976,
6217,105050.4,107.809943,107.541342,-0.46607,0.023966000000000043,
6218,105067.3,107.857733,107.542975,-0.482539,0.002854000000000023,
6219,105084.2,107.907233,107.544943,-0.512631,-0.021645999999999943,
6220,105101.1,107.955344,107.546805,-0.538287,-0.04760399999999998,
6221,105118.0,108.004553,107.54946,-0.578829,-0.08100400000000002,
6222,105134.9,108.053702,107.551932,-0.616518,-0.122718,
6223,105151.8,108.101767,107.555075,-0.656104,-0.151127,
6224,105168.7,108.149542,107.55799,-0.692522,-0.20397699999999996,
6225,105185.6,108.197241,107.561194,-0.728619,-0.24596100000000004,
6226,105202.5,108.243796,107.563834,-0.766618,-0.287675,
6227,105219.4,108.290305,107.568411,-0.80017,-0.310362,
6228,105236.3,108.336401,107.572394,-0.840691,-0.34063699999999997,
6229,105253.2,108.380606,107.576331,-0.888179,-0.3874970000000001,
6230,105270.1,108.424979,107.581046,-0.941043,-0.44221199999999994,
6231,105287.0,108.468024,107.585364,-0.989472,-0.48753,
6232,105303.9,108.510413,107.590033,-1.038846,-0.5378259999999999,
6233,105320.8,108.551917,107.594443,-1.088851,-0.593407,
6234,105337.7,108.59278,107.600088,-1.128075,-0.6456529999999999,
6235,105354.6,108.632193,107.604971,-1.176802,-0.6863069999999999,
6236,105371.5,108.670828,107.611151,-1.224881,-0.7380990000000001,
6237,105388.4,108.709174,107.616217,-1.275182,-0.787151,
6238,105405.3,108.747092,107.621695,-1.326109,-0.834346,
6239,105422.2,108.783621,107.627448,-1.381461,-0.894344,
6240,105439.1,108.819311,107.633643,-1.430155,-0.938067,
6241,105456.0,108.854697,107.640417,-1.488969,-1.0043199999999999,
6242,105472.9,108.889731,107.646246,-1.537974,-1.050522,
6243,105489.8,108.924262,107.653235,-1.592025,-1.09774,
6244,105506.7,108.957953,107.659582,-1.64418,-1.160746,
6245,105523.6,108.990637,107.666678,-1.691255,-1.199126,
6246,105540.5,109.023383,107.673666,-1.746873,-1.2562879999999998,
6247,105557.4,109.054862,107.680808,-1.798051,-1.3000090000000002,
6248,105574.3,109.086401,107.688117,-1.855552,-1.359674,
6249,105591.2,109.118033,107.695944,-1.912722,-1.4093870000000002,
6250,105608.1,109.148581,107.702795,-1.964836,-1.468942,
6251,105625.0,109.179221,107.711096,-2.019138,-1.5285119999999999,
6252,105641.9,109.209479,107.718542,-2.061739,-1.5642760000000002,
6253,105658.8,109.239066,107.726355,-2.10876,-1.6187370000000003,
6254,105675.7,109.268973,107.733801,-2.151984,-1.6672280000000002,
6255,105692.6,109.297736,107.741904,-2.197723,-1.7033369999999999,
6256,105709.5,109.326956,107.750204,-2.243769,-1.7624119999999999,
6257,105726.4,109.355597,107.758566,-2.298982,-1.807994,
6258,105743.3,109.384146,107.76763,-2.348165,-1.8515819999999998,
6259,105760.2,109.412268,107.775915,-2.398621,-1.901408,
6260,105777.1,109.441122,107.784201,-2.440532,-1.945793,
6261,105794.0,109.46842,107.793036,-2.488436,-1.998965,
6262,105810.9,109.496542,107.801504,-2.525273,-2.038586,
6263,105827.8,109.524115,107.811392,-2.563342,-2.073855,
6264,105844.7,109.55094,107.819479,-2.606816,-2.121043,
6265,105861.6,109.579153,107.829245,-2.650567,-2.160133,
6266,105878.5,109.605902,107.837866,-2.6956,-2.2036040000000003,
6267,105895.4,109.633429,107.84754,-2.741869,-2.256694,
6268,105912.3,109.660895,107.857107,-2.787501,-2.2982829999999996,
6269,105929.2,109.688483,107.866629,-2.830599,-2.332369,
6270,105946.1,109.715338,107.876364,-2.869578,-2.3735120000000003,
6271,105963.0,109.742346,107.886389,-2.904437,-2.4105350000000003,
6272,105979.9,109.769598,107.896017,-2.939932,-2.4429160000000003,
6273,105996.8,109.796179,107.906378,-2.974456,-2.471845,
6274,106013.7,109.823737,107.915533,-3.01469,-2.517349,
6275,106030.6,109.850561,107.925879,-3.053311,-2.552856,
6276,106047.5,109.878394,107.935126,-3.090056,-2.59456,
6277,106064.4,109.905066,107.94567,-3.127082,-2.650515,
6278,106081.3,109.932059,107.956244,-3.16031,-2.675352,
6279,106098.2,109.959784,107.966986,-3.201109,-2.709623,
6280,106115.1,109.986929,107.977606,-3.234641,-2.73818,
6281,106132.0,110.014609,107.988287,-3.267219,-2.7667129999999998,
6282,106148.9,110.041464,107.998969,-3.296634,-2.794257,
6283,106165.8,110.069205,108.009467,-3.336152,-2.831282,
6284,106182.7,110.097037,108.020834,-3.378167,-2.877325,
6285,106199.6,110.124136,108.031714,-3.418609,-2.927697,
6286,106216.5,110.152228,108.042273,-3.44769,-2.9639100000000003,
6287,106233.4,110.179755,108.053229,-3.483068,-2.9896529999999997,
6288,106250.3,110.206854,108.065482,-3.513357,-3.019313,
6289,106267.2,110.234915,108.076315,-3.538629,-3.0392979999999996,
6290,106284.1,110.262869,108.08811,-3.564186,-3.060192,
6291,106301.0,110.290427,108.099402,-3.59764,-3.082767,
6292,106317.9,110.318335,108.110877,-3.634238,-3.116253,
6293,106334.8,110.346167,108.122549,-3.665777,-3.1437489999999997,
6294,106351.7,110.374747,108.13407,-3.696999,-3.179003,
6295,106368.6,110.402213,108.146368,-3.729141,-3.208033,
6296,106385.5,110.430899,108.158499,-3.763488,-3.2386480000000004,
6297,106402.4,110.458899,108.170447,-3.782699,-3.255369,
6298,106419.3,110.486746,108.182318,-3.806953,-3.2634730000000003,
6299,106436.2,110.51496,108.194647,-3.836234,-3.2812590000000004,
6300,106453.1,110.543143,108.206168,-3.867425,-3.302818,
6301,106470.0,110.571082,108.218787,-3.894795,-3.3245989999999996,
6302,106486.9,110.599326,108.231802,-3.928137,-3.3535909999999998,
6303,106503.8,110.627387,108.243933,-3.958347,-3.372,
6304,106520.7,110.655615,108.256567,-3.982234,-3.3977500000000003,
6305,106537.6,110.684424,108.269736,-4.016184,-3.417728,
6306,106554.5,110.71279,108.282263,-4.046365,-3.4454269999999996,
6307,106571.4,110.740744,108.294485,-4.07025,-3.453788,
6308,106588.3,110.768301,108.307715,-4.102919,-3.477454,
6309,106605.2,110.797171,108.32099,-4.13621,-3.5011270000000003,
6310,106622.1,110.825568,108.333533,-4.169203,-3.5244990000000005,
6311,106639.0,110.85369,108.346487,-4.199027,-3.543152,
6312,106655.9,110.882422,108.360465,-4.22472,-3.5648159999999995,
6313,106672.8,110.910208,108.373007,-4.249193,-3.584022,
6314,106689.7,110.938742,108.386633,-4.267331,-3.59534,
6315,106706.6,110.967123,108.400153,-4.29019,-3.612003,
6316,106723.5,110.995138,108.413763,-4.324058,-3.641536,
6317,106740.4,111.023245,108.427374,-4.354143,-3.6626339999999997,
6318,106757.3,111.051703,108.44097,-4.383278,-3.680916,
6319,106774.2,111.079748,108.455023,-4.415538,-3.70916,
6320,106791.1,111.107764,108.468954,-4.438671,-3.717404,
6321,106808.0,111.13613,108.481924,-4.470326,-3.745044,
6322,106824.9,111.164694,108.496329,-4.485255,-3.7534750000000003,
6323,106841.8,111.192908,108.510474,-4.50931,-3.776313,
6324,106858.7,111.220877,108.524939,-4.533979,-3.7938630000000004,
6325,106875.6,111.250098,108.538992,-4.562115,-3.8071260000000002,
6326,106892.5,111.27735,108.553931,-4.594302,-3.835302,
6327,106909.4,111.306097,108.567786,-4.624634,-3.863487,
6328,106926.3,111.334189,108.581854,-4.650865,-3.8854009999999994,
6329,106943.2,111.362891,108.596396,-4.675502,-3.9125509999999997,
6330,106960.1,111.391013,108.611136,-4.697612,-3.9300370000000004,
6331,106977.0,111.41889,108.625845,-4.718777,-3.953716,
6332,106993.9,111.447684,108.640784,-4.735843,-3.956535,
6333,107010.8,111.475073,108.655432,-4.761399,-3.972195,
6334,107027.7,111.5035,108.669791,-4.79607,-4.000072,
6335,107044.6,111.531302,108.68479,-4.816575,-4.015958,
6336,107061.5,111.559256,108.699484,-4.838972,-4.036532,
6337,107078.4,111.587058,108.715414,-4.863516,-4.056461,
6338,107095.3,111.61524,108.729498,-4.891263,-4.091693,
6339,107112.2,111.643561,108.74555,-4.920187,-4.115997,
6340,107129.1,111.671469,108.760245,-4.944759,-4.139061,
6341,107146.0,111.698966,108.775824,-4.964271,-4.149616,
6342,107162.9,111.727744,108.791296,-4.993826,-4.169288,
6343,107179.8,111.755469,108.80657,-5.019301,-4.192629999999999,
