index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
9544,168911.1,214.679854,208.928679,-16.615872,-16.675766,0.8484927522977527,1.1815649314517174e-07
9545,168928.8,214.709242,208.958227,-16.628579,-16.676689999999997,0.84845782615469,1.1824628431966744e-07
9546,168946.5,214.737143,208.988654,-16.63146,-16.664995,0.8484218332735786,1.1833888502454926e-07
9547,168964.2,214.765932,209.019064,-16.616764,-16.662872,0.8483858323285821,1.1843157599056298e-07
9548,168981.9,214.79468,209.049147,-16.613668,-16.676537,0.8483501907479437,1.1852340953133478e-07
9549,168999.6,214.824183,209.079275,-16.61816,-16.710361,0.848314468143153,1.1861551957315086e-07
9550,169017.3,214.852217,209.109434,-16.625246,-16.735400000000002,0.8482786809669214,1.1870786464918126e-07
9551,169035.0,214.880431,209.139075,-16.632555,-16.779615,0.8482434813009286,1.187987601070084e-07
9552,169052.7,214.908175,209.169047,-16.647634,-16.815434,0.8482078611455882,1.1889080875349123e-07
9553,169070.4,214.935576,209.198748,-16.661526,-16.837691999999997,0.8481725358234058,1.1898216217831603e-07
9554,169088.1,214.963072,209.229159,-16.679378,-16.8677,0.8481363379173134,1.1907584124282167e-07
9555,169105.8,214.991206,209.258726,-16.691076,-16.89594,0.848101117281611,1.1916705811021444e-07
9556,169123.5,215.019686,209.289271,-16.708318,-16.943485,0.8480647032936262,1.1926143528295796e-07
9557,169141.2,215.047648,209.318816,-16.728196,-16.980098,0.8480294540000226,1.1935286131636857e-07
9558,169158.9,215.075011,209.348517,-16.74507,-16.997152,0.8479939913408266,1.1944490718729384e-07
9559,169176.6,215.102698,209.377966,-16.759759,-17.001851,0.8479588025549886,1.1953630896233136e-07
9560,169194.3,215.129774,209.407958,-16.750876,-17.000527,0.8479229372484823,1.1962953577748792e-07
9561,169212.0,215.157195,209.43804,-16.734607,-16.990619,0.8478869362094654,1.1972318425534922e-07
9562,169229.7,215.185442,209.467623,-16.726144,-16.992703000000002,0.8478515048604666,1.198154183645883e-07
9563,169247.4,215.213385,209.497649,-16.721853,-16.999755,0.8478155150108249,1.1990917503368337e-07
9564,169265.1,215.242113,209.526884,-16.698846,-16.993471,0.8477804462029419,1.2000059873562563e-07
9565,169282.8,215.271117,209.557547,-16.650647,-16.972956,0.8477436356995687,1.2009663363787837e-07
9566,169300.5,215.299788,209.587977,-16.618823,-16.949279,0.8477070757745447,1.20192086339177e-07
9567,169318.2,215.328883,209.616366,-16.603046,-16.92989,0.8476729417870357,1.2028126977758902e-07
9568,169335.9,215.358057,209.646448,-16.599363,-16.925186,0.8476367445439598,1.2037591168301276e-07
9569,169353.6,215.386732,209.675894,-16.605479,-16.92749,0.8476012849961807,1.2046869302118068e-07
9570,169371.3,215.416502,209.705786,-16.60699,-16.91762,0.8475652603997134,1.2056302145513342e-07
9571,169389.0,215.445155,209.735274,-16.601939,-16.892223,0.8475296950388976,1.2065621540768845e-07
9572,169406.7,215.474867,209.765219,-16.600058,-16.860039,0.8474935503477423,1.2075099625752372e-07
9573,169424.4,215.504408,209.795092,-16.595989,-16.837424,0.8474574642617568,1.2084569339654294e-07
9574,169442.1,215.534758,209.824808,-16.607475,-16.833155,0.8474215397416764,1.2094003554175004e-07
9575,169459.8,215.56526,209.854334,-16.596644,-16.806772000000002,0.8473858171306966,1.210339160562235e-07
9576,169477.5,215.594607,209.883532,-16.593602,-16.800527,0.8473504640777078,1.2112689212750993e-07
9577,169495.2,215.625094,209.913287,-16.600103,-16.808805,0.8473144086569521,1.2122178438822573e-07
9578,169512.9,215.655558,209.943083,-16.637488,-16.849161000000002,0.8472782752397015,1.2131695142914012e-07
9579,169530.6,215.685194,209.973376,-16.666876,-16.879927,0.8472415100220091,1.2141385435926466e-07
9580,169548.3,215.715506,210.002592,-16.707664,-16.931250000000002,0.847206024080749,1.2150745359873483e-07
9581,169566.0,215.744811,210.032137,-16.724523,-16.96601,0.8471701107034153,1.2160224915902518e-07
9582,169583.7,215.774847,210.062643,-16.735761,-16.985988,0.8471329997728204,1.21700277966319e-07
9583,169601.4,215.805075,210.092131,-16.725131,-16.991064,0.8470970988058606,1.2179518105170928e-07
9584,169619.1,215.836134,210.121481,-16.718889,-16.988981000000003,0.8470613380410706,1.2188978160132535e-07
9585,169636.8,215.866812,210.15164,-16.718988,-17.007171,0.8470245626247568,1.2198713783551085e-07
9586,169654.5,215.897406,210.181456,-16.729059,-17.024981,0.8469881765725652,1.22083534448425e-07
9587,169672.2,215.928622,210.211443,-16.734143,-17.046559,0.8469515528284209,1.2218063250024613e-07
9588,169689.9,215.959277,210.240561,-16.734884,-17.059016,0.8469159625277117,1.2227505885586964e-07
9589,169707.6,215.990046,210.2708,-16.730997,-17.074005999999997,0.8468789729273949,1.2237327023933986e-07
9590,169725.3,216.02101,210.300364,-16.718379,-17.067529,0.8468427802821299,1.224694361479095e-07
9591,169743.0,216.051165,210.329791,-16.715327,-17.052712999999997,0.8468067270995875,1.2256530140808408e-07
9592,169760.7,216.081339,210.35953,-16.720024,-17.049229,0.8467702629806598,1.2266232995994386e-07
9593,169778.4,216.111609,210.389227,-16.729897,-17.051718,0.8467338215433696,1.2275936922545583e-07
9594,169796.1,216.141665,210.419173,-16.748317,-17.050026,0.8466970453525231,1.228573717759751e-07
9595,169813.8,216.171874,210.449198,-16.768921,-17.100835,0.8466601426562407,1.229557844428797e-07
9596,169831.5,216.201296,210.479186,-16.793303,-17.136925,0.8466232559188577,1.2305422741887284e-07
9597,169849.2,216.231814,210.508826,-16.81909,-17.161293,0.8465867682074799,1.2315167707832586e-07
9598,169866.9,216.261969,210.53866,-16.827754,-17.16337,0.8465500124857814,1.2324991477408176e-07
9599,169884.6,216.291853,210.568587,-16.829649,-17.146154,0.8465131127193244,1.233486101037684e-07
9600,169902.3,216.322062,210.598364,-16.832743,-17.127754,0.8464763685643735,1.2344696170840663e-07
9601,169920.0,216.352698,210.628466,-16.819512,-17.081901,0.8464391935763018,1.2354654033153167e-07
9602,169937.7,216.383391,210.658339,-16.808482,-17.049782,0.8464022717389892,1.2364551355004139e-07
9603,169955.4,216.414763,210.688132,-16.785323,-17.012493000000003,0.8463654193081374,1.237443739698918e-07
9604,169973.1,216.446246,210.718447,-16.785018,-16.990509,0.8463278909341794,1.238451226570625e-07
9605,169990.8,216.476687,210.747721,-16.783763,-16.987848,0.8462916222545518,1.2394256077019605e-07
9606,170008.5,216.507479,210.777228,-16.79244,-17.005451,0.8462550360148081,1.2404092375462028e-07
9607,170026.2,216.536936,210.807597,-16.791139,-17.012479000000003,0.8462173506346279,1.2414231692625677e-07
9608,170043.9,216.566977,210.837641,-16.776332,-17.009973,0.8461800382290388,1.2424278172940006e-07
9609,170061.6,216.597361,210.867533,-16.764118,-17.004496,0.8461428846180178,1.243428927044654e-07
9610,170079.3,216.627013,210.898039,-16.754664,-17.007140999999997,0.8461049369713088,1.2444521996224367e-07
9611,170097.0,216.657378,210.927931,-16.749213,-17.008424,0.8460677228006401,1.2454564446429117e-07
9612,170114.7,216.688071,210.95809,-16.763826,-17.031955,0.8460301457812992,1.2464712290105595e-07
9613,170132.4,216.718302,210.988306,-16.76969,-17.027274000000002,0.8459924670262104,1.2474895255687457e-07
9614,170150.1,216.74753,211.017657,-16.768236,-17.007729,0.8459558374262084,1.2484801975576332e-07
9615,170167.8,216.777472,211.048029,-16.769721,-16.99331,0.8459179029979416,1.2495069195983532e-07
9616,170185.5,216.806715,211.078249,-16.755317,-16.96777,0.8458801274425225,1.2505301072440744e-07
9617,170203.2,216.836214,211.10789,-16.749484,-16.956758999999998,0.8458430455867187,1.2515352487696418e-07
9618,170220.9,216.866099,211.138396,-16.74858,-16.945318,0.8458048504530498,1.2525713399824667e-07
9619,170238.6,216.895308,211.168036,-16.753476,-16.936304,0.8457677093000339,1.2535795945733952e-07
9620,170256.3,216.924071,211.198061,-16.768087,-16.936808000000003,0.8457300552199809,1.2546025274229322e-07
9621,170274.0,216.954108,211.228529,-16.791615,-16.937895,0.8456918141562989,1.2556421818965546e-07
9622,170291.7,216.983279,211.257765,-16.817576,-16.949158,0.845655089599346,1.256641350977361e-07
9623,170309.4,217.013159,211.288596,-16.836117,-16.947249000000003,0.8456163298259074,1.257696672918307e-07
9624,170327.1,217.042174,211.317797,-16.845591,-16.945007,0.84557958921258,1.2586977676809497e-07
