index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
10356,174999.5,224.816225,219.379565,-22.848337,-23.180245,0.7168386079651207,2.741994306054707e-07
10357,175016.4,224.844282,219.407763,-22.835727,-23.173257999999997,0.7167612526726153,2.7445865030673033e-07
10358,175033.3,224.872881,219.436274,-22.828944,-23.169955,0.7166829643505545,2.7472119418225915e-07
10359,175050.2,224.901675,219.465014,-22.818256,-23.163527000000002,0.7166039713943135,2.749863020623522e-07
10360,175067.1,224.929579,219.493906,-22.818267,-23.164876999999997,0.7165244837963377,2.7525327395139243e-07
10361,175084.0,224.957537,219.522456,-22.819075,-23.159824,0.716445861273241,2.75517541448167e-07
10362,175100.9,224.986193,219.550944,-22.821249,-23.157694000000003,0.7163673342217544,2.7578168781960954e-07
10363,175117.8,225.014544,219.579817,-22.832159,-23.161966,0.7162876690705826,2.7604986685414445e-07
10364,175134.7,225.042098,219.608248,-22.843288,-23.177354,0.7162091477395242,2.763143960304859e-07
10365,175151.6,225.069827,219.636427,-22.838277,-23.166095000000002,0.716131248112724,2.7657702855732325e-07
10366,175168.5,225.098635,219.664725,-22.828202,-23.160084,0.7160529449754859,2.7684121928217564e-07
10367,175185.4,225.126482,219.692923,-22.830394,-23.159724999999998,0.715974844119098,2.771049253946778e-07
10368,175202.3,225.154578,219.722437,-22.851189,-23.163965,0.7158930185812612,2.7738141977762254e-07
10369,175219.2,225.181898,219.750327,-22.882184,-23.184825,0.7158156204147834,2.776431535234103e-07
10370,175236.1,225.210131,219.779028,-22.910214,-23.214391,0.7157358953461148,2.779129587571205e-07
10371,175253.0,225.237425,219.807055,-22.919605,-23.21676,0.7156579677069944,2.78176880086356e-07
10372,175269.9,225.265536,219.835909,-22.893748,-23.174743999999997,0.7155776632944556,2.7844905697849143e-07
10373,175286.8,225.293448,219.86434,-22.881921,-23.144036,0.7154984592637635,2.787177091345683e-07
10374,175303.7,225.321555,219.89308,-22.886217,-23.124789,0.7154183167130158,2.789897515231843e-07
10375,175320.6,225.349104,219.921378,-22.895204,-23.109263,0.7153393302391431,2.7925807322137786e-07
10376,175337.5,225.377058,219.950194,-22.906693,-23.094492,0.7152588198085508,2.795317801118635e-07
10377,175354.4,225.4046,219.979128,-22.918754,-23.116844,0.715177900265927,2.7980708949826294e-07
10378,175371.3,225.432459,220.006827,-22.921551,-23.12507,0.7151003599461524,2.8007110114414147e-07
10379,175388.2,225.460276,220.035277,-22.923528,-23.134809,0.7150206410892987,2.803427335829056e-07
10380,175405.1,225.487589,220.064478,-22.921772,-23.144506,0.7149387374418055,2.806220249507163e-07
10381,175422.0,225.515814,220.092562,-22.932518,-23.17642,0.7148598897794347,2.808911010454551e-07
10382,175438.9,225.543784,220.121264,-22.950615,-23.229675999999998,0.7147792288941165,2.8116657330157224e-07
10383,175455.8,225.572028,220.149348,-22.971655,-23.284896999999997,0.714700228170064,2.814365804293395e-07
10384,175472.7,225.599768,220.177992,-23.000634,-23.336201000000003,0.7146195739777378,2.817124475917865e-07
10385,175489.6,225.627081,220.206423,-23.020487,-23.377987,0.7145394413309768,2.819867399583842e-07
10386,175506.5,225.654921,220.234969,-23.038776,-23.405578,0.7144589060311962,2.822626204990186e-07
10387,175523.4,225.682795,220.263304,-23.054549,-23.433566000000003,0.7143788880650955,2.825369370129671e-07
10388,175540.3,225.710417,220.291697,-23.063129,-23.446783,0.7142986282731759,2.8281229136339903e-07
10389,175557.2,225.737887,220.32009,-23.059469,-23.444846,0.7142182902320963,2.830881234983096e-07
10390,175574.1,225.765723,220.348692,-23.059294,-23.442897000000002,0.7141372815722534,2.833664701773486e-07
10391,175591.0,225.793425,220.377142,-23.063595,-23.446396,0.7140566243698023,2.836438208198011e-07
10392,175607.9,225.821166,220.406077,-23.084187,-23.473372,0.7139745111608945,2.8392639495056216e-07
10393,175624.8,225.848944,220.433947,-23.108524,-23.511082,0.7138953428920488,2.8419904196663737e-07
10394,175641.7,225.876471,220.462264,-23.13458,-23.558471,0.7138148269712793,2.8447653899199565e-07
10395,175658.6,225.905238,220.490752,-23.142566,-23.578856,0.7137337454718696,2.847561977326052e-07
10396,175675.5,225.933012,220.519125,-23.155217,-23.606816000000002,0.7136529120248176,2.8503521343203886e-07
10397,175692.4,225.960967,220.547171,-23.170214,-23.622754,0.7135729323175859,2.8531149093291575e-07
10398,175709.3,225.988631,220.576025,-23.190796,-23.641558999999997,0.7134905674735859,2.85596224558482e-07
10399,175726.2,226.016001,220.60438,-23.220333,-23.679025,0.7134095469358908,2.858765261182228e-07
10400,175743.1,226.044882,220.633234,-23.243823,-23.70598,0.7133270189121319,2.8616226183109106e-07
10401,175760.0,226.072394,220.661765,-23.274315,-23.732559000000002,0.7132453335924832,2.864452979811638e-07
10402,175776.9,226.100386,220.689944,-23.290263,-23.724605,0.7131645767282714,2.867253299787542e-07
10403,175793.8,226.128683,220.718199,-23.303684,-23.715875,0.7130835227606697,2.8700660514857645e-07
10404,175810.7,226.156619,220.746516,-23.312634,-23.713349,0.7130022111306177,2.872889887650665e-07
10405,175827.6,226.183989,220.775084,-23.326812,-23.711201,0.7129200976596469,2.875743753127935e-07
10406,175844.5,226.212042,220.803202,-23.344698,-23.711988,0.712839197948724,2.878557572860707e-07
10407,175861.4,226.240244,220.832041,-23.367006,-23.734272,0.7127561415517546,2.881448619707072e-07
10408,175878.3,226.268507,220.860278,-23.389152,-23.751932,0.7126747380630335,2.884284308612983e-07
10409,175895.2,226.29611,220.888152,-23.41403,-23.77795,0.7125943024529142,2.887088394465387e-07
10410,175912.1,226.324473,220.916716,-23.435763,-23.792288000000003,0.7125117945612313,2.889966906893804e-07
10411,175929.0,226.352461,220.945322,-23.45497,-23.804101,0.7124290828752946,2.892854748526297e-07
10412,175945.9,226.380064,220.973715,-23.468173,-23.835319,0.7123469052985855,2.8957261449802374e-07
10413,175962.8,226.407904,221.001605,-23.479074,-23.849493,0.7122661041069407,2.8985515898583003e-07
10414,175979.7,226.43479,221.030344,-23.490898,-23.852178000000002,0.7121827607357522,2.9014681490746597e-07
10415,175996.6,226.463423,221.059103,-23.493603,-23.838377,0.7120992753830336,2.9043919458349166e-07
10416,176013.5,226.491316,221.086684,-23.49521,-23.81999,0.7120191306233052,2.9072008755903767e-07
10417,176030.4,226.519095,221.114863,-23.504735,-23.81185,0.7119371681171267,2.9100756754329993e-07
10418,176047.3,226.547182,221.143469,-23.520828,-23.824239000000002,0.7118538806897478,2.9129991852006043e-07
10419,176064.2,226.574999,221.171977,-23.537895,-23.832563,0.7117707953186002,2.9159178493998184e-07
10420,176081.1,226.601832,221.200602,-23.558249,-23.843593,0.7116872851632815,2.918853697075896e-07
10421,176098.0,226.629553,221.228068,-23.554431,-23.827157,0.7116070771855872,2.921675591460726e-07
10422,176114.9,226.656264,221.256422,-23.549984,-23.822498,0.7115241946368842,2.9245937793742627e-07
10423,176131.8,226.684431,221.285101,-23.555406,-23.829066,0.7114402778243211,2.927550660225542e-07
10424,176148.7,226.711745,221.312743,-23.561853,-23.832006,0.7113593150218696,2.930405623158272e-07
10425,176165.6,226.739176,221.341231,-23.578524,-23.838001000000002,0.7112757916548588,2.9333531131880974e-07
10426,176182.5,226.765814,221.3692,-23.59503,-23.847515,0.7111937081739176,2.936252002094797e-07
10427,176199.4,226.793745,221.397341,-23.600478,-23.857597,0.7111110380068554,2.939173824878516e-07
10428,176216.3,226.821059,221.426234,-23.611504,-23.904255,0.7110260730553059,2.9421790709305284e-07
10429,176233.2,226.848647,221.45397,-23.619685,-23.935665,0.7109444287095708,2.945069076942808e-07
10430,176250.1,226.87615,221.481707,-23.629414,-23.95351,0.7108627011891621,2.9479642016383423e-07
10431,176267.0,226.902922,221.510756,-23.636943,-23.973222,0.7107770216729805,2.9510016547051876e-07
10432,176283.9,226.931494,221.538065,-23.646889,-23.994574,0.7106963937205828,2.9538622042801777e-07
10433,176300.8,226.958502,221.566321,-23.644773,-24.032915,0.71061288751448,2.9568270987212486e-07
10434,176317.7,226.985525,221.594447,-23.637238,-24.061765,0.710529682230891,2.9597835676797857e-07
10435,176334.6,227.012797,221.623167,-23.631419,-24.069668,0.7104446338310956,2.962807854611782e-07
10436,176351.5,227.039805,221.651018,-23.623516,-24.057864,0.710362075768543,2.9657458389120706e-07
10437,176368.4,227.066267,221.67906,-23.615992,-24.051087,0.7102788687871784,2.9687091601671156e-07
10438,176385.3,227.094664,221.707224,-23.616595,-24.04624,0.7101952160897252,2.9716906285726097e-07
10439,176402.2,227.121027,221.735209,-23.625537,-24.046248000000002,0.7101120118134918,2.974658374066408e-07
10440,176419.1,227.148848,221.762831,-23.626169,-24.023234000000002,0.7100298052850417,2.9775927418151937e-07
