index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc
6144,108731.1,114.35488,110.088019,-1.965993,-1.508289,
6145,108748.8,114.384253,110.111578,-1.971422,-1.513874,
6146,108766.5,114.414084,110.134756,-1.974451,-1.51663,
6147,108784.2,114.443777,110.158453,-1.977213,-1.5250430000000001,
6148,108801.9,114.472708,110.181723,-1.975508,-1.5271750000000002,
6149,108819.6,114.502432,110.204962,-1.975791,-1.522923,
6150,108837.3,114.531653,110.228415,-1.977396,-1.515727,
6151,108855.0,114.561575,110.252158,-1.984067,-1.518061,
6152,108872.7,114.591238,110.27587,-1.990798,-1.523128,
6153,108890.4,114.620734,110.299857,-1.995123,-1.526967,
6154,108908.1,114.650641,110.323218,-1.998463,-1.5311340000000002,
6155,108925.8,114.680228,110.34725,-2.000685,-1.5392339999999998,
6156,108943.5,114.709097,110.370779,-2.001301,-1.54245,
6157,108961.2,114.739478,110.394217,-2.000108,-1.539376,
6158,108978.9,114.768378,110.418768,-2.001453,-1.5321680000000002,
6159,108996.6,114.79798,110.442648,-2.005205,-1.530555,
6160,109014.3,114.827704,110.466116,-2.011618,-1.5342719999999999,
6161,109032.0,114.857428,110.490302,-2.017232,-1.539701,
6162,109049.7,114.886816,110.514105,-2.022261,-1.5445589999999998,
6163,109067.4,114.916174,110.53768,-2.025619,-1.5518819999999998,
6164,109085.1,114.94631,110.562186,-2.027816,-1.556518,
6165,109102.8,114.975165,110.585913,-2.025678,-1.5520850000000002,
6166,109120.5,115.004446,110.609732,-2.02616,-1.548458,
6167,109138.2,115.034582,110.634238,-2.028397,-1.547358,
6168,109155.9,115.063559,110.657965,-2.032461,-1.549172,
6169,109173.6,115.093634,110.682196,-2.036382,-1.5495500000000002,
6170,109191.3,115.122778,110.706915,-2.040181,-1.551212,
6171,109209.0,115.152411,110.730673,-2.045756,-1.5541099999999999,
6172,109226.7,115.181616,110.754858,-2.048776,-1.5567760000000002,
6173,109244.4,115.211279,110.779883,-2.050721,-1.5586959999999999,
6174,109262.1,115.241003,110.803198,-2.051712,-1.5537760000000003,
6175,109279.8,115.270483,110.828024,-2.052834,-1.550115,
6176,109297.5,115.299475,110.852133,-2.059747,-1.5553770000000002,
6177,109315.2,115.329306,110.876914,-2.06572,-1.5615199999999998,
6178,109332.9,115.358923,110.900534,-2.067743,-1.5637750000000001,
6179,109350.6,115.388434,110.924933,-2.070094,-1.571215,
6180,109368.3,115.41828,110.949683,-2.070966,-1.575081,
6181,109386.0,115.448111,110.973822,-2.067925,-1.5686919999999998,
6182,109403.7,115.477927,110.998511,-2.067264,-1.559228,
6183,109421.4,115.50733,111.023703,-2.070168,-1.5566209999999998,
6184,109439.1,115.536826,111.047766,-2.077573,-1.5607140000000002,
6185,109456.8,115.566687,111.072867,-2.084086,-1.5652750000000002,
6186,109474.5,115.595953,111.097311,-2.088394,-1.569919,
6187,109492.2,115.625479,111.121832,-2.092269,-1.5785749999999998,
6188,109509.9,115.6556,111.146536,-2.095059,-1.585717,
6189,109527.6,115.68508,111.171011,-2.093586,-1.582704,
6190,109545.3,115.714743,111.195715,-2.09321,-1.573585,
6191,109563.0,115.743964,111.22048,-2.096584,-1.571603,
6192,109580.7,115.77384,111.245917,-2.100409,-1.572611,
6193,109598.4,115.803671,111.270575,-2.106761,-1.578761,
6194,109616.1,115.832663,111.294959,-2.110928,-1.5819199999999998,
6195,109633.8,115.861899,111.320196,-2.113529,-1.59064,
6196,109651.5,115.891699,111.344107,-2.116017,-1.595354,
6197,109669.2,115.920721,111.369315,-2.115404,-1.5939979999999998,
