index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
5640,99810.3,103.697714,103.687659,-0.807491,-0.17618899999999993,,
5641,99828.0,103.698981,103.688528,-0.811077,-0.17878300000000003,,
5642,99845.7,103.700278,103.689169,-0.81042,-0.16748000000000007,,
5643,99863.4,103.701636,103.690054,-0.820862,-0.16960399999999998,,
5644,99881.1,103.702979,103.69158,-0.824444,-0.172863,,
5645,99898.8,103.703818,103.691855,-0.823463,-0.17421799999999998,,
5646,99916.5,103.704871,103.693671,-0.822471,-0.18255599999999994,,
5647,99934.2,103.705435,103.693732,-0.818879,-0.17131400000000008,,
5648,99951.9,103.706503,103.695181,-0.816911,-0.1793450000000001,,
5649,99969.6,103.707617,103.696005,-0.818538,-0.17864800000000003,,
5650,99987.3,103.708029,103.696951,-0.821796,-0.18424399999999996,,
5651,100005.0,103.708868,103.697729,-0.822118,-0.18357400000000001,,
5652,100022.7,103.709418,103.698813,-0.822764,-0.17524000000000006,,
5653,100040.4,103.710577,103.700095,-0.82602,-0.18050100000000002,,
5654,100058.1,103.711081,103.700308,-0.825692,-0.18184500000000003,,
5655,100075.8,103.711859,103.701117,-0.824707,-0.17653799999999997,,
5656,100093.5,103.712775,103.701987,-0.825355,-0.176195,,
5657,100111.2,103.713171,103.70307,-0.835142,-0.19464700000000001,,
5658,100128.9,103.713812,103.704474,-0.833174,-0.19435199999999997,,
5659,100146.6,103.714545,103.705161,-0.839699,-0.20521199999999995,,
5660,100164.3,103.715033,103.706595,-0.835445,-0.197635,,
5661,100182.0,103.715811,103.706595,-0.828589,-0.19278400000000007,,
5662,100199.7,103.716849,103.707983,-0.822703,-0.1809139999999999,,
5663,100217.4,103.717429,103.708701,-0.824984,-0.182867,,
5664,100235.1,103.718314,103.710028,-0.831504,-0.189728,,
5665,100252.8,103.71897,103.710944,-0.835089,-0.193986,,
5666,100270.5,103.720114,103.711722,-0.831819,-0.194052,,
5667,100288.2,103.721167,103.712408,-0.833774,-0.20200399999999996,,
5668,100305.9,103.72135,103.713553,-0.833766,-0.20000799999999996,,
5669,100323.6,103.721548,103.714468,-0.837024,-0.204604,,
5670,100341.3,103.722754,103.715491,-0.827877,-0.19545999999999997,,
5671,100359.0,103.723227,103.716681,-0.821993,-0.184261,,
5672,100376.7,103.724204,103.717444,-0.82362,-0.18389699999999998,,
5673,100394.4,103.72486,103.717719,-0.832106,-0.18906100000000003,,
5674,100412.1,103.725668,103.718878,-0.83471,-0.20132499999999998,,
5675,100429.8,103.726416,103.719794,-0.831439,-0.19572699999999998,,
5676,100447.5,103.726904,103.72077,-0.839594,-0.2082179999999999,,
5677,100465.2,103.727271,103.721106,-0.833716,-0.20234399999999997,,
5678,100482.9,103.727881,103.721838,-0.828488,-0.192133,,
5679,100500.6,103.728323,103.722662,-0.827177,-0.1855,,
5680,100518.3,103.728293,103.72399,-0.827494,-0.19147999999999998,,
5681,100536.0,103.728781,103.725439,-0.827158,-0.1878249999999999,,
5682,100553.7,103.729254,103.725668,-0.834664,-0.19866699999999993,,
5683,100571.4,103.72904,103.726416,-0.834659,-0.20532300000000003,,
5684,100589.1,103.729071,103.727652,-0.838242,-0.21955900000000006,,
5685,100606.8,103.729727,103.728613,-0.834971,-0.20132000000000005,,
5686,100624.5,103.729468,103.729513,-0.825499,-0.19185299999999994,,
5687,100642.2,103.729559,103.729804,-0.826803,-0.19083499999999998,,
5688,100659.9,103.729636,103.731345,-0.818306,-0.18067999999999995,,
5689,100677.6,103.72962,103.731757,-0.817977,-0.18068799999999996,,
5690,100695.3,103.729559,103.732626,-0.820909,-0.17929799999999996,,
5691,100713.0,103.728964,103.733756,-0.822533,-0.18858199999999992,,
5692,100730.7,103.728812,103.734381,-0.823509,-0.1985530000000001,,
5693,100748.4,103.728323,103.735022,-0.820893,-0.19594100000000003,,
5694,100766.1,103.728262,103.736151,-0.822844,-0.18891199999999997,,
5695,100783.8,103.727835,103.737326,-0.829364,-0.197434,,
5696,100801.5,103.727927,103.738287,-0.831316,-0.19473600000000002,,
5697,100819.2,103.727606,103.738898,-0.830007,-0.1977580000000001,,
5698,100836.9,103.727042,103.739996,-0.827715,-0.19879899999999995,,
5699,100854.6,103.726798,103.740179,-0.81988,-0.1986230000000001,,
5700,100872.3,103.72666,103.741141,-0.810082,-0.18317499999999998,,
5701,100890.0,103.726492,103.742087,-0.813666,-0.19541600000000003,,
5702,100907.7,103.726233,103.742773,-0.813335,-0.184774,,
5703,100925.4,103.726218,103.743369,-0.814963,-0.194392,,
5704,100943.1,103.726019,103.744238,-0.81659,-0.19303400000000004,,
5705,100960.8,103.726004,103.745047,-0.816258,-0.18438700000000008,,
5706,100978.5,103.725638,103.745291,-0.814625,-0.184423,,
5707,100996.2,103.72515,103.746252,-0.812986,-0.18079599999999996,,
5708,101013.9,103.725363,103.74758,-0.80286,-0.168678,,
5709,101031.6,103.724997,103.747809,-0.797964,-0.16378899999999996,,
5710,101049.3,103.724966,103.748465,-0.797633,-0.15980400000000006,,
5711,101067.0,103.724371,103.749411,-0.805133,-0.16830599999999996,,
5712,101084.7,103.724204,103.750082,-0.805455,-0.17262900000000003,,
5713,101102.4,103.7237,103.750891,-0.806103,-0.177276,,
5714,101120.1,103.722571,103.751273,-0.805774,-0.184272,,
5715,101137.8,103.722998,103.75199,-0.804138,-0.18430100000000005,,
5716,101155.5,103.722037,103.753043,-0.807394,-0.1869019999999999,,
5717,101173.2,103.721198,103.753668,-0.7976,-0.16579900000000003,,
5718,101190.9,103.720862,103.75408,-0.789438,-0.154648,,
5719,101208.6,103.719641,103.755042,-0.783232,-0.15144100000000005,,
5720,101226.3,103.719199,103.755637,-0.78845,-0.156335,,
5721,101244.0,103.718237,103.756277,-0.794646,-0.16153799999999996,,
5722,101261.7,103.717047,103.756964,-0.798231,-0.17012000000000005,,
5723,101279.4,103.716177,103.757452,-0.791701,-0.16625899999999993,,
5724,101297.1,103.715094,103.758582,-0.789084,-0.16198599999999996,,
5725,101314.8,103.713751,103.758887,-0.790387,-0.15963499999999997,,
5726,101332.5,103.712759,103.75965,-0.783203,-0.13515900000000003,,
5727,101350.2,103.71131,103.759665,-0.776023,-0.130648,,
5728,101367.9,103.709555,103.760657,-0.774059,-0.12470000000000003,,
5729,101385.6,103.708044,103.760886,-0.771447,-0.11644399999999999,,
5730,101403.3,103.706137,103.761801,-0.776663,-0.12233499999999997,,
5731,101421.0,103.705054,103.76261,-0.772742,-0.11842200000000003,,
