T(K),latentHeat(J/g)
248.04,275.430723430229
248.05,275.456863566596
248.06,275.482999550873
248.07,275.509131386324
248.08,275.535259076211
248.09,275.561382623796
248.1,275.587502032336
248.11,275.61361730509
248.12,275.639728445312
248.13,275.665835456255
248.14,275.69193834117
248.15,275.718037103307
248.16,275.744131745913
248.17,275.770222272232
248.18,275.796308685509
248.19,275.822390988985
248.2,275.8484691859
248.21,275.874543279491
248.22,275.900613272994
248.23,275.926679169643
248.24,275.952740972669
248.25,275.978798685302
248.26,276.004852310771
248.27,276.030901852302
248.28,276.056947313118
248.29,276.082988696442
248.3,276.109026005494
248.31,276.135059243492
248.32,276.161088413653
248.33,276.187113519191
248.34,276.213134563319
248.35,276.239151549247
248.36,276.265164480184
248.37,276.291173359336
248.38,276.317178189909
248.39,276.343178975105
248.4,276.369175718125
248.41,276.395168422168
248.42,276.421157090431
248.43,276.44714172611
248.44,276.473122332396
248.45,276.499098912482
248.46,276.525071469557
248.47,276.551040006808
248.48,276.57700452742
248.49,276.602965034578
248.5,276.628921531461
248.51,276.654874021251
248.52,276.680822507124
248.53,276.706766992256
248.54,276.732707479821
248.55,276.758643972991
248.56,276.784576474936
248.57,276.810504988823
248.58,276.836429517818
248.59,276.862350065087
248.6,276.888266633789
248.61,276.914179227086
248.62,276.940087848136
248.63,276.965992500096
248.64,276.991893186118
248.65,277.017789909356
248.66,277.043682672961
248.67,277.069571480079
248.68,277.095456333859
248.69,277.121337237445
248.7,277.147214193979
248.71,277.173087206601
248.72,277.198956278451
248.73,277.224821412665
248.74,277.250682612379
248.75,277.276539880724
248.76,277.302393220833
248.77,277.328242635833
248.78,277.354088128851
248.79,277.379929703014
248.8,277.405767361444
248.81,277.431601107261
248.82,277.457430943586
248.83,277.483256873535
248.84,277.509078900224
248.85,277.534897026767
248.86,277.560711256273
248.87,277.586521591854
248.88,277.612328036616
248.89,277.638130593664
248.9,277.663929266104
248.91,277.689724057035
248.92,277.715514969557
248.93,277.741302006769
248.94,277.767085171766
248.95,277.792864467642
248.96,277.818639897488
248.97,277.844411464395
248.98,277.870179171449
248.99,277.895943021739
249,277.921703018346
249.01,277.947459164353
249.02,277.973211462841
249.03,277.998959916887
249.04,278.024704529567
249.05,278.050445303956
249.06,278.076182243126
249.07,278.101915350146
249.08,278.127644628087
249.09,278.153370080012
249.1,278.179091708987
249.11,278.204809518075
249.12,278.230523510335
249.13,278.256233688827
249.14,278.281940056606
249.15,278.307642616727
249.16,278.333341372243
249.17,278.359036326205
249.18,278.38472748166
249.19,278.410414841655
249.2,278.436098409236
249.21,278.461778187445
249.22,278.487454179322
249.23,278.513126387907
249.24,278.538794816236
249.25,278.564459467344
249.26,278.590120344265
249.27,278.615777450028
249.28,278.641430787662
249.29,278.667080360196
249.3,278.692726170653
249.31,278.718368222057
249.32,278.744006517428
249.33,278.769641059787
249.34,278.795271852149
249.35,278.82089889753
249.36,278.846522198944
249.37,278.872141759401
249.38,278.89775758191
249.39,278.923369669479
249.4,278.948978025113
249.41,278.974582651816
249.42,279.000183552588
249.43,279.025780730429
249.44,279.051374188335
249.45,279.076963929304
249.46,279.102549956328
249.47,279.128132272397
249.48,279.153710880503
249.49,279.179285783632
249.5,279.20485698477
249.51,279.2304244869
249.52,279.255988293003
249.53,279.28154840606
249.54,279.307104829048
249.55,279.332657564942
249.56,279.358206616716
249.57,279.383751987341
249.58,279.409293679788
249.59,279.434831697023
249.6,279.460366042013
249.61,279.485896717721
249.62,279.511423727109
249.63,279.536947073137
249.64,279.562466758762
249.65,279.587982786939
249.66,279.613495160623
249.67,279.639003882767
249.68,279.664508956318
249.69,279.690010384225
249.7,279.715508169434
249.71,279.741002314889
249.72,279.766492823532
249.73,279.791979698301
249.74,279.817462942136
249.75,279.842942557972
249.76,279.868418548743
249.77,279.893890917381
249.78,279.919359666816
249.79,279.944824799975
249.8,279.970286319785
249.81,279.995744229169
249.82,280.02119853105
249.83,280.046649228348
249.84,280.072096323979
249.85,280.097539820861
249.86,280.122979721907
249.87,280.148416030029
249.88,280.173848748137
249.89,280.19927787914
249.9,280.224703425942
249.91,280.250125391449
249.92,280.275543778562
249.93,280.300958590181
249.94,280.326369829204
249.95,280.351777498528
249.96,280.377181601045
249.97,280.402582139649
249.98,280.427979117229
249.99,280.453372536673
250,280.478762400867
250.01,280.504148712696
250.02,280.529531475041
250.03,280.554910690782
250.04,280.580286362798
250.05,280.605658493964
250.06,280.631027087154
250.07,280.656392145241
250.08,280.681753671094
250.09,280.707111667581
250.1,280.73246613757
250.11,280.757817083922
250.12,280.783164509501
250.13,280.808508417166
250.14,280.833848809776
250.15,280.859185690187
250.16,280.884519061252
250.17,280.909848925823
250.18,280.935175286751
250.19,280.960498146883
250.2,280.985817509066
250.21,281.011133376143
250.22,281.036445750957
250.23,281.061754636346
250.24,281.087060035151
250.25,281.112361950205
250.26,281.137660384343
250.27,281.162955340398
250.28,281.188246821198
250.29,281.213534829572
250.3,281.238819368346
250.31,281.264100440344
250.32,281.289378048387
250.33,281.314652195295
250.34,281.339922883887
250.35,281.365190116978
250.36,281.390453897381
250.37,281.41571422791
250.38,281.440971111372
250.39,281.466224550578
250.4,281.491474548331
250.41,281.516721107436
250.42,281.541964230694
250.43,281.567203920906
250.44,281.592440180869
250.45,281.617673013378
250.46,281.642902421228
250.47,281.668128407211
250.48,281.693350974114
250.49,281.718570124727
250.5,281.743785861835
250.51,281.768998188222
250.52,281.794207106669
250.53,281.819412619955
250.54,281.844614730859
250.55,281.869813442156
250.56,281.895008756618
250.57,281.920200677019
250.58,281.945389206127
250.59,281.970574346709
250.6,281.995756101532
250.61,282.020934473358
250.62,282.046109464949
250.63,282.071281079064
250.64,282.096449318461
250.65,282.121614185894
250.66,282.146775684118
250.67,282.171933815883
250.68,282.197088583939
250.69,282.222239991033
250.7,282.24738803991
250.71,282.272532733312
250.72,282.297674073983
250.73,282.32281206466
250.74,282.34794670808
250.75,282.373078006979
250.76,282.398205964089
250.77,282.423330582143
250.78,282.448451863867
250.79,282.473569811991
250.8,282.498684429238
250.81,282.523795718331
250.82,282.548903681991
250.83,282.574008322938
250.84,282.599109643887
250.85,282.624207647554
250.86,282.649302336651
250.87,282.674393713889
250.88,282.699481781977
250.89,282.724566543621
250.9,282.749648001526
250.91,282.774726158395
250.92,282.799801016928
250.93,282.824872579823
250.94,282.849940849778
250.95,282.875005829485
250.96,282.900067521639
250.97,282.925125928929
250.98,282.950181054044
250.99,282.975232899669
251,283.00028146849
251.01,283.025326763188
251.02,283.050368786443
251.03,283.075407540934
251.04,283.100443029337
251.05,283.125475254325
251.06,283.150504218572
251.07,283.175529924746
251.08,283.200552375516
251.09,283.225571573548
251.1,283.250587521505
251.11,283.275600222049
251.12,283.300609677841
251.13,283.325615891537
251.14,283.350618865794
251.15,283.375618603265
251.16,283.400615106602
251.17,283.425608378454
251.18,283.45059842147
251.19,283.475585238293
251.2,283.500568831568
251.21,283.525549203936
251.22,283.550526358037
251.23,283.575500296508
251.24,283.600471021983
251.25,283.625438537097
251.26,283.65040284448
251.27,283.675363946761
251.28,283.700321846568
251.29,283.725276546526
251.3,283.750228049257
251.31,283.775176357382
251.32,283.80012147352
251.33,283.825063400289
251.34,283.850002140302
251.35,283.874937696173
251.36,283.899870070512
251.37,283.924799265928
251.38,283.949725285026
251.39,283.974648130413
251.4,283.99956780469
251.41,284.024484310457
251.42,284.049397650314
251.43,284.074307826855
251.44,284.099214842676
251.45,284.124118700369
251.46,284.149019402524
251.47,284.173916951728
251.48,284.198811350568
251.49,284.223702601628
251.5,284.24859070749
251.51,284.273475670733
251.52,284.298357493936
251.53,284.323236179673
251.54,284.348111730519
251.55,284.372984149046
251.56,284.397853437822
251.57,284.422719599416
251.58,284.447582636392
251.59,284.472442551315
251.6,284.497299346745
251.61,284.522153025241
251.62,284.547003589362
251.63,284.571851041662
251.64,284.596695384694
251.65,284.621536621009
251.66,284.646374753155
251.67,284.671209783681
251.68,284.696041715131
251.69,284.720870550047
251.7,284.74569629097
251.71,284.770518940439
251.72,284.79533850099
251.73,284.820154975158
251.74,284.844968365475
251.75,284.869778674472
251.76,284.894585904677
251.77,284.919390058616
251.78,284.944191138814
251.79,284.968989147791
251.8,284.993784088069
251.81,285.018575962166
251.82,285.043364772597
251.83,285.068150521875
251.84,285.092933212514
251.85,285.117712847022
251.86,285.142489427907
251.87,285.167262957675
251.88,285.192033438829
251.89,285.21680087387
251.9,285.241565265298
251.91,285.266326615611
251.92,285.291084927302
251.93,285.315840202866
251.94,285.340592444793
251.95,285.365341655573
251.96,285.390087837692
251.97,285.414830993635
251.98,285.439571125884
251.99,285.464308236921
252,285.489042329224
252.01,285.51377340527
252.02,285.538501467532
252.03,285.563226518484
252.04,285.587948560595
