T(K),X,m,cp(J/gK),cp_err(%),dev%,cpm(J/molK)
207.5,0.0,0.0,1.605699616736914,2.301359370099772,4.8754627681050735,28.98737404102816
208.5,0.0,0.0,1.6147246380450404,2.397916515610238,4.895534626258699,29.150300945699506
209.5,0.0,0.0,1.626182482466814,2.5648609056711646,4.915606484412323,29.357147119476902
210.5,0.0,0.0,1.6372270892359457,2.626757706752043,4.935678342565948,29.556533196558682
211.5,0.0,0.0,1.6386781999675553,2.60555560223873,4.955750200719573,29.582729808374285
212.5,0.0,0.0,1.6402754468511214,2.605341155603033,4.975822058873198,29.611564586913925
213.5,0.0,0.0,1.6494432365930858,2.6022174000661686,4.995893917026822,29.77706886156766
214.5,0.0,0.0,1.6594023644670508,2.6711355379192216,5.015965775180447,29.956859005250777
215.5,0.0,0.0,1.6683173917336644,2.6936678833351864,5.036037633334073,30.1178002094895
216.5,0.0,0.0,1.678441052156906,2.7128008536826917,5.056109491487697,30.300560626378193
217.5,0.0,0.0,1.686097983657965,2.8052681471511796,5.076181349641322,30.438789679380513
218.5,0.0,0.0,1.6975580930642227,2.8703877118641956,5.0962532077949465,30.645676742469803
219.5,0.0,0.0,1.7147942755264123,3.136259372129188,5.116325065948572,30.95683809722322
220.5,0.0,0.0,1.729374317532708,3.284258493155495,5.136396924102196,31.220048679554473
221.5,0.0,0.0,1.7335593240546459,3.252710028372443,5.156468782255821,31.295599765293712
222.5,0.0,0.0,1.7408458902305652,3.245369759031043,5.176540640409446,31.42714268715435
223.5,0.0,0.0,1.7512562934995473,3.2067075922590056,5.196612498563071,31.61507961528863
224.5,0.0,0.0,1.7474390488766491,3.1431219799992314,5.216684356716696,31.546167661560375
225.5,0.0,0.0,1.7417052467068341,2.984789132486722,5.23675621487032,31.442656477749136
226.5,0.0,0.0,1.7504870116431974,2.4798286299669003,5.256828073023946,31.601191923792317
227.5,0.0,0.0,1.7587214205469648,2.159933574342223,5.27689993117757,31.74984606085025
228.5,0.0,0.0,1.7603180667903107,2.2755587463057387,5.296971789331195,31.77866999615212
229.5,0.0,0.0,1.771991736923828,2.4296310516266693,5.31704364748482,31.989412428338486
230.5,0.0,0.0,1.7881469146917002,2.4064569434745575,5.337115505638445,32.28105862154633
231.5,0.0,0.0,1.8019801870170002,2.0988754571589476,5.357187363792069,32.53078792018051
232.5,0.0,0.0,1.8149971136298202,1.7814338240213443,5.377259221945694,32.76577989293642
233.5,0.0,0.0,1.823292131308924,1.5710667439880899,5.39733108009932,32.915528188093745
234.5,0.0,0.0,1.8252892702709458,1.6668935587759521,5.417402938252944,32.951582138347334
235.5,0.0,0.0,1.8305411549302222,2.0251459287341254,5.437474796406569,33.04639336172432
236.5,0.0,0.0,1.8400884127353694,2.3441456772223224,5.457546654560193,33.21874809742908
237.5,0.0,0.0,1.8457369408596322,2.6358556986176627,5.477618512713819,33.32071984595077
238.5,0.0,0.0,1.8504643775122593,2.8020086756115137,5.497690370867443,33.40606331435332
239.5,0.0,0.0,1.8574031930094421,2.7489663472142247,5.517762229021068,33.53132836276086
240.5,0.0,0.0,1.8596061821894034,2.3948971593658137,5.5378340871746925,33.57109848582886
241.5,0.0,0.0,1.8581346842256679,1.7838825706829633,5.557905945328318,33.54453382738914
242.5,0.0,0.0,1.8576934671540113,1.5745264275951745,5.577977803481943,33.53656862383794
243.5,0.0,0.0,1.8573463994532933,1.6717191540698573,5.598049661635567,33.530303080050416
244.5,0.0,0.0,1.8604519529131656,1.793290202686917,5.6181215197891925,33.5863670155508
245.5,0.0,0.0,1.8679888937394797,1.8952176716623261,5.638193377942817,33.72242990090008
246.5,0.0,0.0,1.8734324888225313,1.9266408890700988,5.658265236096442,33.820702034215394
247.5,0.0,0.0,1.8820900391035182,1.8972980437464777,5.678337094250066,33.976995057927994
248.5,0.0,0.0,1.896211908704623,1.677264170877746,5.698408952403692,34.23193434546282
249.5,0.0,0.0,1.904684103782864,1.6155796532662319,5.718480810557316,34.38488118877129
250.5,0.0,0.0,1.9076992237024786,1.6166774379005258,5.738552668710941,34.43931254565611
251.5,0.0,0.0,1.9115779889384816,1.4815759567402642,5.758624526864566,34.50933511870863
252.5,0.0,0.0,1.9152691627205851,1.464469311606838,5.778696385018191,34.57597114076218
253.5,0.0,0.0,1.9185559918510546,1.4378521110232314,5.798768243171816,34.635307609688724
254.5,0.0,0.0,1.9228375353331235,1.3696695598828017,5.81884010132544,34.712601457861815
255.5,0.0,0.0,1.9305472788167661,1.3615061297224387,5.8389119594790655,34.85178391502332
256.5,0.0,0.0,1.9401048248057395,1.323621148817117,5.85898381763269,35.02432438125306
257.5,0.0,0.0,1.9495992026464548,1.2738678819010878,5.879055675786315,35.19572448553592
258.5,0.0,0.0,1.959939555150004,1.249117904953419,5.899127533939939,35.382396801211996
259.5,0.0,0.0,1.9715667043386196,1.1977351258238536,5.919199392093565,35.59229940008424
260.5,0.0,0.0,1.9819084079579354,1.24812837621054,5.939271250247189,35.77899610718302
261.5,0.0,0.0,1.992514337333613,1.2478703373942759,5.959343108400814,35.97046282901625
262.5,0.0,0.0,2.003513004519966,1.2391651509669999,5.979414966554439,36.16901956799805
263.5,0.0,0.0,2.0135252898129865,1.352821026724386,5.999486824708064,36.34976935193588
264.5,0.0,0.0,2.0238975484675614,1.3615505334674884,6.019558682861689,36.537017662975195
265.5,0.0,0.0,2.0337273974889043,1.376351342605665,6.039630541015313,36.7144739613877
266.5,0.0,0.0,2.04349220541542,1.3546189980595729,6.0597023991689385,36.89075608592349
267.5,0.0,0.0,2.053483303488565,1.2183443759150985,6.079774257322563,37.071123381218364
268.5,0.0,0.0,2.063033398583699,1.0619108252561877,6.099846115476188,37.2435293379518
269.5,0.0,0.0,2.0729745947082154,1.0153936915776005,6.119917973629812,37.422995763348474
