T(K),dev%
204.5,4.815247193644199
205.0,4.825283122721012
205.5,4.835319051797824
206.0,4.845354980874636
206.5,4.855390909951449
207.0,4.865426839028261
207.5,4.8754627681050735
208.0,4.885498697181886
208.5,4.895534626258699
209.0,4.905570555335511
209.5,4.915606484412323
210.0,4.925642413489135
210.5,4.935678342565948
211.0,4.9457142716427605
211.5,4.955750200719573
212.0,4.965786129796386
212.5,4.975822058873198
213.0,4.98585798795001
213.5,4.995893917026822
214.0,5.005929846103635
214.5,5.015965775180447
215.0,5.02600170425726
215.5,5.036037633334073
216.0,5.046073562410885
216.5,5.056109491487697
217.0,5.066145420564509
217.5,5.076181349641322
218.0,5.086217278718134
218.5,5.0962532077949465
219.0,5.106289136871759
219.5,5.116325065948572
220.0,5.126360995025384
220.5,5.136396924102196
221.0,5.146432853179009
221.5,5.156468782255821
222.0,5.1665047113326334
222.5,5.176540640409446
223.0,5.186576569486259
223.5,5.196612498563071
224.0,5.206648427639883
224.5,5.216684356716696
225.0,5.226720285793508
225.5,5.23675621487032
226.0,5.246792143947133
226.5,5.256828073023946
227.0,5.266864002100758
227.5,5.27689993117757
228.0,5.286935860254382
228.5,5.296971789331195
229.0,5.307007718408007
229.5,5.3170436474848195
230.0,5.327079576561633
230.5,5.337115505638445
231.0,5.347151434715257
231.5,5.357187363792069
232.0,5.367223292868882
232.5,5.377259221945694
233.0,5.3872951510225064
233.5,5.3973310800993195
234.0,5.407367009176132
234.5,5.417402938252944
235.0,5.427438867329756
235.5,5.437474796406569
236.0,5.447510725483381
236.5,5.457546654560193
237.0,5.4675825836370056
237.5,5.477618512713819
238.0,5.487654441790631
238.5,5.497690370867443
239.0,5.507726299944256
239.5,5.517762229021068
240.0,5.52779815809788
240.5,5.5378340871746925
241.0,5.5478700162515056
241.5,5.557905945328318
242.0,5.56794187440513
242.5,5.577977803481943
243.0,5.588013732558755
243.5,5.598049661635567
244.0,5.608085590712379
244.5,5.6181215197891925
245.0,5.628157448866005
245.5,5.638193377942817
246.0,5.648229307019629
246.5,5.658265236096442
247.0,5.668301165173254
247.5,5.678337094250066
248.0,5.688373023326879
248.5,5.698408952403692
249.0,5.708444881480504
249.5,5.718480810557316
250.0,5.728516739634129
250.5,5.738552668710941
251.0,5.748588597787753
251.5,5.758624526864566
252.0,5.7686604559413786
252.5,5.778696385018191
253.0,5.788732314095003
253.5,5.798768243171816
254.0,5.808804172248628
254.5,5.81884010132544
255.0,5.828876030402252
255.5,5.8389119594790655
256.0,5.848947888555878
256.5,5.85898381763269
257.0,5.869019746709503
257.5,5.879055675786315
258.0,5.889091604863127
258.5,5.899127533939939
259.0,5.909163463016752
259.5,5.919199392093565
260.0,5.929235321170377
260.5,5.939271250247189
261.0,5.949307179324002
261.5,5.959343108400814
262.0,5.969379037477626
262.5,5.979414966554439
263.0,5.9894508956312515
263.5,5.999486824708064
264.0,6.009522753784876
264.5,6.019558682861689
265.0,6.029594611938501
265.5,6.039630541015313
266.0,6.049666470092126
266.5,6.0597023991689385
267.0,6.069738328245751
267.5,6.079774257322563
268.0,6.089810186399376
268.5,6.099846115476188
269.0,6.109882044553
269.5,6.119917973629812
270.0,6.129953902706625
270.5,6.139989831783438
271.0,6.15002576086025
271.5,6.160061689937063
272.0,6.170097619013875
272.5,6.180133548090687
273.0,6.190169477167499
273.5,6.200205406244312
274.0,6.2102413353211245
274.5,6.220277264397937
275.0,6.23031319347475
275.5,6.240349122551562
276.0,6.250385051628374
276.5,6.260420980705186
277.0,6.270456909781999
277.5,6.2804928388588115
278.0,6.290528767935624
278.5,6.300564697012436
279.0,6.310600626089249
279.5,6.320636555166061
280.0,6.330672484242873
280.5,6.340708413319686
281.0,6.350744342396498
281.5,6.360780271473311
282.0,6.370816200550123
282.5,6.380852129626936
283.0,6.390888058703748
283.5,6.40092398778056
284.0,6.410959916857373
284.5,6.420995845934185
285.0,6.4310317750109975
285.5,6.44106770408781
286.0,6.451103633164623
286.5,6.461139562241435
287.0,6.471175491318247
287.5,6.481211420395059
288.0,6.491247349471872
288.5,6.5012832785486845
289.0,6.511319207625497
289.5,6.52135513670231
290.0,6.531391065779122
290.5,6.541426994855934
291.0,6.551462923932746
291.5,6.561498853009559
292.0,6.571534782086371
292.5,6.581570711163184
293.0,6.591606640239997
293.5,6.601642569316809
294.0,6.611678498393621
294.5,6.621714427470433
295.0,6.631750356547246
295.5,6.641786285624058
296.0,6.6518222147008705
296.5,6.661858143777683
297.0,6.671894072854496
297.5,6.681930001931308
298.0,6.69196593100812
298.5,6.702001860084933
299.0,6.712037789161745
299.5,6.7220737182385575
300.0,6.73210964731537
300.5,6.742145576392183
301.0,6.752181505468995
301.5,6.762217434545807
302.0,6.77225336362262
302.5,6.782289292699432
303.0,6.792325221776244
303.5,6.802361150853057
304.0,6.81239707992987
304.5,6.822433009006682
305.0,6.832468938083494
305.5,6.842504867160306
306.0,6.852540796237119
306.5,6.862576725313931
307.0,6.8726126543907435
307.5,6.882648583467557
308.0,6.892684512544369
308.5,6.902720441621181
309.0,6.912756370697993
309.5,6.922792299774806
310.0,6.932828228851618
310.5,6.9428641579284305
311.0,6.9529000870052435
311.5,6.962936016082056
312.0,6.972971945158868
312.5,6.98300787423568
313.0,6.993043803312493
313.5,7.003079732389305
314.0,7.013115661466117
314.5,7.02315159054293
315.0,7.033187519619743
315.5,7.043223448696555
316.0,7.053259377773367
316.5,7.06329530685018
317.0,7.073331235926992
317.5,7.083367165003804
318.0,7.0934030940806165
318.5,7.10343902315743
319.0,7.113474952234242
319.5,7.123510881311054
320.0,7.133546810387867
320.5,7.143582739464679
321.0,7.153618668541491
321.5,7.1636545976183035
322.0,7.1736905266951165
322.5,7.183726455771929
323.0,7.193762384848741
323.5,7.203798313925553
324.0,7.213834243002366
324.5,7.223870172079178
325.0,7.23390610115599
325.5,7.2439420302328035
326.0,7.253977959309616
326.5,7.264013888386428
327.0,7.27404981746324
327.5,7.284085746540053
328.0,7.294121675616865
328.5,7.304157604693677
329.0,7.3141935337704895
329.5,7.324229462847303
330.0,7.334265391924115
330.5,7.344301321000927
331.0,7.35433725007774
331.5,7.364373179154552
332.0,7.374409108231364
332.5,7.3844450373081765
333.0,7.3944809663849895
333.5,7.404516895461802
334.0,7.414552824538614
334.5,7.424588753615427
335.0,7.434624682692239
335.5,7.444660611769051
336.0,7.454696540845863
336.5,7.4647324699226765
337.0,7.474768398999489
337.5,7.484804328076301
338.0,7.494840257153113
338.5,7.504876186229926
339.0,7.514912115306738
339.5,7.52494804438355
